tosi,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1946,-0.1,0.5,0.2,-0.4,-0.8,-0.6,-0.9,-0.1,-1.5,-1.0,-0.2,-0.5
1947,-0.4,-0.2,1.4,-0.1,-1.0,0.6,1.1,1.1,1.1,0.0,0.7,0.5
1948,-0.3,-0.1,0.0,0.4,0.7,-0.1,0.3,0.0,-0.7,0.7,0.3,-0.5
1949,-0.6,0.3,0.8,0.4,-0.2,-0.8,0.0,-0.1,0.2,0.6,-0.6,0.7
1950,0.6,1.5,2.0,1.3,1.1,3.0,2.4,1.5,0.6,1.7,1.0,2.2
1951,1.2,0.6,-0.2,-0.4,-0.9,0.3,-1.3,-0.2,-1.1,-1.0,-0.8,-0.6
1952,-0.6,-0.4,0.5,-0.2,1.1,1.1,0.6,0.1,-0.2,0.4,0.0,-1.1
1953,0.2,-0.3,-0.2,0.1,-2.4,0.2,0.0,-1.2,-1.3,0.1,-0.3,-0.4
1954,0.6,-0.2,0.2,0.5,0.7,0.2,0.5,1.3,0.2,0.3,0.2,1.2
1955,-0.5,1.3,0.5,-0.3,1.5,1.9,2.1,1.8,1.3,1.6,1.3,0.9
1956,1.1,1.1,1.2,0.9,2.1,1.6,1.5,1.5,0.0,1.8,0.2,0.9
1957,0.5,0.0,0.2,0.3,-1.0,0.2,0.3,-0.5,-1.0,0.1,-1.0,-0.3
1958,-1.4,-0.3,0.2,0.3,-0.6,0.4,0.5,1.2,-0.4,0.1,-0.5,-0.5
1959,-0.6,-0.9,1.2,0.6,0.7,-0.2,-0.3,-0.1,0.0,0.5,1.0,0.8
1960,0.1,0.1,0.9,0.8,0.8,0.2,0.7,1.0,0.7,0.1,0.6,0.7
1961,-0.3,0.6,-1.5,1.0,0.5,0.1,0.3,0.3,0.1,-0.3,0.6,1.2
1962,1.5,-0.1,0.3,0.4,1.5,0.9,0.1,0.7,0.5,1.1,0.3,0.0
1963,0.8,0.4,1.0,0.7,0.6,-0.6,-0.1,0.1,-0.6,-1.1,-0.8,-1.0
1964,-0.3,0.1,1.1,1.4,0.5,1.1,0.8,1.7,1.2,1.4,0.1,-0.3
1965,-0.3,0.3,0.6,-0.6,0.3,-0.9,-2.4,-0.8,-1.4,-1.0,-2.0,0.1
1966,-1.0,-0.2,-0.9,-0.3,-0.6,0.5,0.0,0.6,-0.2,-0.1,-0.1,-0.4
1967,1.4,1.1,1.1,0.2,0.0,1.0,0.3,0.9,0.5,0.1,-0.4,-0.5
1968,0.6,0.8,0.0,0.1,1.7,1.5,0.9,0.3,-0.3,-0.1,-0.4,0.2
1969,-0.9,-0.4,0.5,-0.3,-0.3,0.3,-0.7,-0.2,-1.0,-0.9,-0.1,0.3
1970,-0.9,-0.7,0.5,-0.1,0.5,1.4,-0.5,0.8,1.1,1.0,1.7,1.6
1971,0.3,1.4,2.1,1.9,1.2,0.6,0.3,1.8,1.5,1.7,0.6,0.2
1972,0.4,0.7,0.5,0.0,-2.3,-0.8,-1.8,-0.6,-1.4,-0.9,-0.3,-1.1
1973,-0.3,-0.9,0.6,0.0,0.6,1.6,0.8,1.6,1.2,0.8,2.7,1.6
1974,1.9,1.4,2.2,1.1,1.4,0.6,1.4,1.0,1.1,0.9,-0.2,0.1
1975,-0.4,0.5,1.4,1.2,0.9,1.9,2.4,2.3,2.1,1.8,1.2,1.8
1976,1.1,1.1,1.5,0.4,0.5,0.5,-1.2,-0.9,-1.2,0.4,0.8,-0.4
1977,-0.2,0.8,-0.5,-0.5,-0.7,-1.3,-1.4,-0.8,-0.9,-1.1,-1.3,-0.9
1978,-0.3,-1.8,-0.1,-0.3,2.0,1.0,0.8,0.6,0.0,-0.4,-0.2,-0.1
1979,-0.2,0.6,0.1,-0.2,0.5,0.9,1.7,-0.2,0.1,-0.1,-0.5,-0.6
1980,0.4,0.2,-0.5,-0.8,0.0,0.0,0.0,0.4,-0.5,0.0,-0.4,-0.1
1981,0.4,-0.1,-1.1,-0.1,1.2,1.8,1.1,0.8,0.6,-0.4,0.2,0.5
1982,0.8,0.2,0.5,0.2,-0.5,-1.7,-1.9,-2.0,-2.0,-1.7,-2.7,-1.9
1983,-2.6,-2.4,-2.3,-1.0,0.8,0.1,-0.7,0.1,0.9,0.5,-0.1,0.0
1984,0.1,0.6,-0.2,0.5,0.3,-0.5,0.2,0.6,0.2,-0.3,0.3,-0.1
1985,-0.4,0.8,0.6,1.2,0.7,-0.5,-0.1,1.1,0.0,-0.4,-0.2,0.2
1986,0.8,-0.7,0.5,0.3,-0.3,1.5,0.4,-0.3,-0.5,0.7,-1.3,-1.2
1987,-0.5,-0.8,-1.1,-1.5,-1.8,-1.6,-1.8,-1.1,-1.1,-0.4,0.0,-0.4
1988,-0.2,-0.2,0.5,0.2,1.3,0.0,1.3,1.7,1.9,1.5,1.8,1.0
1989,1.2,0.8,1.0,1.7,1.8,1.1,1.2,-0.3,0.5,0.8,-0.2,-0.4
1990,-0.1,-1.2,-0.4,0.2,1.6,0.5,0.7,-0.2,-0.7,0.0,-0.5,-0.2
1991,0.5,0.2,-0.6,-0.7,-1.5,-0.2,0.0,-0.5,-1.6,-1.0,-0.7,-1.5
1992,-2.3,-0.6,-1.8,-1.1,0.4,-0.9,-0.6,0.5,0.0,-1.4,-0.7,-0.5
1993,-0.6,-0.5,-0.3,-1.3,-0.5,-1.2,-1.0,-1.2,-0.7,-1.1,-0.1,0.2
1994,-0.1,0.2,-0.6,-1.4,-0.9,-0.6,-1.7,-1.4,-1.6,-1.2,-0.7,-1.1
1995,-0.3,-0.1,0.7,-0.9,-0.5,0.2,0.6,0.4,0.3,0.0,0.1,-0.5
1996,0.8,0.2,0.9,0.8,0.4,1.7,0.9,0.8,0.6,0.5,-0.1,0.7
1997,0.3,1.2,-0.4,-0.8,-1.8,-2.0,-0.9,-1.7,-1.4,-1.5,-1.3,-0.8
1998,-1.9,-1.5,-2.2,-1.6,0.4,1.4,1.7,1.3,1.1,1.2,1.0,1.2
1999,1.5,0.8,1.1,1.6,0.4,0.5,0.6,0.3,-0.1,1.0,1.1,1.3
2000,0.4,1.1,1.2,1.3,0.5,-0.3,-0.2,0.9,1.0,1.0,2.0,0.7
2001,0.7,1.1,0.9,0.1,-0.7,0.4,-0.2,-0.5,0.1,0.0,0.6,-0.8
2002,0.2,0.7,-0.1,-0.1,-1.2,-0.3,-0.7,-1.0,-0.6,-0.4,-0.5,-1.0
2003,-0.1,-0.4,-0.3,-0.1,-0.5,-0.9,0.4,0.2,-0.2,0.0,-0.2,0.9
2004,-0.9,0.8,0.3,-1.4,1.5,-1.1,-0.7,-0.4,-0.3,-0.2,-0.8,-0.7
2005,0.3,-2.0,0.3,-0.5,-1.1,0.6,0.2,-0.4,0.3,1.2,-0.3,0.1
2006,1.2,0.1,1.5,1.0,-0.7,-0.3,-0.9,-1.3,-0.6,-1.2,0.0,-0.2
2007,-0.5,-0.1,0.2,0.1,-0.1,0.7,-0.5,0.5,0.1,0.7,0.8,1.4
2008,1.4,1.8,1.4,0.6,0.0,0.7,0.3,1.0,1.2,1.4,1.5,1.3
2009,0.8,1.3,0.4,0.9,-0.3,0.2,0.3,-0.1,0.3,-1.1,-0.5,-0.7
2010,-0.7,-1.0,-0.6,1.5,1.3,0.6,2.2,2.1,2.4,1.8,1.5,2.5
2011,1.7,1.8,2.3,2.2,0.4,0.5,1.2,0.5,1.1,1.0,1.3,2.2
2012,0.9,0.3,0.5,-0.2,-0.1,-0.7,0.0,-0.2,0.3,0.5,0.4,-0.5
2013,0.1,-0.1,1.3,0.3,1.0,1.7,0.9,0.3,0.4,0.0,0.8,0.1
2014,1.1,0.0,-0.9,0.8,0.7,0.2,-0.2,-0.9,-0.6,-0.6,-0.8,-0.4
2015,-0.6,0.1,-0.7,0.1,-1.2,-0.9,-1.5,-1.5,-1.6,-1.6,-0.4,-0.7
2016,-1.7,-1.4,-0.1,-1.4,0.5,0.9,0.6,0.8,1.3,-0.1,0.0,0.3
